permit_id,builder,zone,building_type,approval_date,cost
fb0c88ca-1480-4435-a4d9-64d315be31c7,Chad Ltd,North,Residential,2024-01-21,56398.25
562c3eb7-88ee-4992-bd06-95607a9fcde5,"Bhakta, Sarkar and Iyer",West,Residential,2020-12-18,53952.95
0958ddc5-3445-4261-9bff-68e789a17342,Dey-Muni,South,Commercial,2022-06-23,55824.05
6ab08101-b0b9-4edc-be81-574166e7e5ef,Patel Inc,East,Industrial,2020-09-08,65974.66
43bb4c22-06b6-4211-a3b1-aa583a7310ee,"Sura, Rege and Doctor",South,Commercial,2022-03-07,49662.08
8ccc0622-61f3-4d55-85cc-0adea6532f2b,Sarkar Ltd,South,Residential,2023-02-05,62461.95
ba092cd0-067f-4efe-9fb7-1f2d9d60a147,Sangha Inc,South,Industrial,2024-07-30,59822.45
205c5fc9-5b3c-4935-9fa1-2dd2edcab245,Suri-Edwin,North,Residential,2024-01-10,45605.18
9212473b-acd6-4457-8743-63ce19395119,"Dey, Pillai and Bajwa",East,Residential,2022-02-22,32492.65
41430c6c-5f49-4df2-8922-c1054c0da770,Kari-Kalita,North,Residential,2020-11-30,49488.99
b1a3b399-eefd-45c6-8bcd-6a0e7cdc21a6,Memon Ltd,West,Commercial,2024-08-17,51118.04
93789290-af6f-424e-aa91-ce0962565b40,"Kumar, Wason and Kibe",West,Residential,2019-09-30,49105.02
11245f4c-68e5-4f85-b310-2a090a4d3885,"Om, Gara and Modi",Central,Residential,2020-03-26,36707.8
e5604929-724b-4e90-981f-d7993f0fa581,"Maharaj, Din and Datta",East,Residential,2022-03-26,64527.74
770d2d02-7ceb-4795-9e66-25236b223ff4,Chacko-Rau,East,Residential,2023-03-21,53292.15
1765091e-c2f8-4146-a837-9bb5308f2434,"Buch, Purohit and Rana",East,Residential,2024-09-12,46021.6
745ff6c3-98c6-4bc2-8f78-5bdf2c53c24f,Shanker-Patla,West,Commercial,2022-02-21,47625.31
84ced48d-934b-419e-8453-6bcf04570299,Bhavsar-Chana,South,Industrial,2024-03-28,42127.85
a65d1b6a-0de8-4172-9be8-7fac80fa87a3,"Kalla, Radhakrishnan and Sibal",Central,Industrial,2023-09-27,71227.8
dfea572c-1161-46b2-95f8-96579cc564ef,"Sahota, Sur and Bir",North,Residential,2022-12-02,48423.31
4cfadbbd-6d8f-437a-8336-449850c8ca81,Suresh and Sons,Central,Residential,2020-04-23,48633.9
b90a5ff2-59db-43f0-a38a-d5a0180bbeac,Thaman-Patel,West,Commercial,2022-10-22,48712.19
36d1309f-509b-4be3-9dae-abe140d79873,Dixit Ltd,South,Residential,2023-12-09,41936.11
4e6b2f81-7808-4cc7-bd52-97580a34e6a2,"Palan, Krishnan and Khanna",Central,Residential,2022-12-29,43680.36
